method,threshold_index,n_datasets,mean_coverage,mean_risk,q15_risk,q85_risk
PCG-MAS,0.2083333333333333,8,91.43556130375397,13.95940120761141,11.270845412494912,16.499112881459002
PCG-MAS,0.25,8,89.97349606672614,13.720036365502413,11.304953684835095,15.875573004143433
PCG-MAS,0.2916666666666666,8,88.7788889967607,13.533050348871742,10.95603739290562,15.616009998805069
PCG-MAS,0.3333333333333333,8,87.33155917021429,13.21348670655854,10.491674958156219,15.235211794418142
PCG-MAS,0.375,8,85.5537479881116,12.790632334359014,10.094145778755799,15.127954475671125
PCG-MAS,0.4166666666666666,8,83.89202290530847,12.463607725513182,9.90074073006593,14.712691864335621
PCG-MAS,0.4583333333333333,8,82.55888454098505,12.19967944506665,9.838877619738435,14.458499835116797
PCG-MAS,0.5,8,80.86390645640218,11.966342887901344,9.500794617830028,14.112112600599827
PCG-MAS,0.5416666666666666,8,79.60275426607402,11.680550817101008,8.863674785806973,14.061293580076386
PCG-MAS,0.5833333333333333,8,77.90359785667152,11.368020080989517,8.89642112465894,13.415880819112745
PCG-MAS,0.625,8,76.81696709522416,11.243789179527045,8.599655150062212,13.414759211284672
PCG-MAS,0.6666666666666666,8,74.9676145334035,11.106615942412246,8.436453973650217,13.157860162068499
PCG-MAS,0.7083333333333333,8,73.59130512471384,10.68355792572526,8.173766548805187,13.054218115836123
PCG-MAS,0.75,8,71.9982621370975,10.655128027553005,7.956771536242016,12.950453022077177
PCG-MAS,0.7916666666666666,8,70.39308937192581,10.426022005523889,7.634628554587222,12.585425286382398
PCG-MAS,0.8333333333333333,8,68.96585941438433,10.269915797123799,7.747489971904463,12.388162378167744
PCG-MAS,0.875,8,67.48117018679673,10.04173645817685,7.355150275124942,12.04640127604344
PCG-MAS,0.9166666666666666,8,65.95065254107456,9.916474521947677,7.157506130310085,12.041345085176228
PCG-MAS,0.9583333333333331,8,64.32828129122872,9.897230371831572,7.371916976769839,11.981754398617714
PCG-MAS,1.0,8,62.96599001304419,9.776416198156248,7.355821769104804,11.931063131223265
